ticker,ret_12m,proba_class_4,target_class,year
GAP,3.2305364049100387,0.20614030957221985,4,2020
UAA,1.4060803474484254,0.20611950755119324,4,2020
NBL,0.4062500000000001,0.20582810044288635,1,2020
MOS,1.9514592622618565,0.20582787692546844,4,2020
COTY,-0.4147286821705426,0.2058030515909195,0,2020
FTI,0.5295663600525624,0.2057151049375534,2,2020
NOV,0.3958200042653017,0.20570653676986694,1,2020
MRO,2.274172615184945,0.20560723543167114,4,2020
NWSA,1.862770309760374,0.2055511474609375,4,2020
HAL,2.1673501577287064,0.20550110936164856,4,2020
APA,3.3199999999999994,0.205483540892601,4,2020
DVN,2.3473744950952105,0.20545615255832672,4,2020
BKR,1.146716864134647,0.20534268021583557,4,2020
M,0.1467009826860083,0.20531101524829865,0,2020
TPR,2.1821872840359364,0.20526431500911713,4,2020
BBWI,4.3509949097639975,0.20514987409114838,4,2020
UA,1.2903225806451617,0.2051129937171936,4,2020
HST,0.5262551095273031,0.2050919085741043,2,2020
FCX,3.8788639573199433,0.20508401095867157,4,2020
AMCR,0.5002314457645427,0.2049574851989746,2,2020
NOV,-0.0598166539343009,0.20595230162143707,1,2021
AMCR,0.0094621001748429,0.20591916143894196,1,2021
MRO,1.385888415419681,0.205688938498497,4,2021
LUMN,-0.0850720949957589,0.20490281283855438,0,2021
UAA,-0.2319494584837546,0.20452263951301575,0,2021
NWL,-0.1705354787654971,0.2044409066438675,0,2021
NWSA,-0.1208607243477196,0.20435528457164764,0,2021
HAL,0.7820327672924654,0.20430752635002136,4,2021
HPE,0.0951766645165914,0.20420308411121368,2,2021
PBCT,0.1639687900314428,0.20406070351600647,3,2021
IVZ,-0.060979673442186,0.20404654741287231,1,2021
HST,0.1548551023211097,0.20394369959831238,2,2021
BKR,0.7349770464744418,0.20394252240657806,4,2021
KMI,0.208960988798764,0.20383886992931366,3,2021
HBAN,-0.031501494596459,0.20369020104408264,1,2021
UA,-0.1570964247020585,0.2036522626876831,0,2021
OXY,1.138635205581468,0.20355865359306335,4,2021
RF,0.110631040363843,0.20303522050380707,2,2021
CCL,-0.2381311228334589,0.20297272503376007,0,2021
MOS,1.1221287553648072,0.20289883017539978,4,2021
VTRS,-0.0759294265910524,0.20550791919231415,2,2022
LUMN,-0.7691665894131825,0.2047785222530365,0,2022
AMCR,0.0456444218033622,0.204360231757164,3,2022
MRO,-0.0336019272304369,0.20368480682373047,2,2022
JNPR,-0.0478120171423573,0.20183685421943665,2,2022
ALL,-0.1785244613217751,0.20127888023853302,1,2022
MAS,-0.0038605230386051,0.20121121406555176,3,2022
CDW,0.1024179109666429,0.20109833776950836,4,2022
DOC,-0.3308523160008307,0.20097781717777252,0,2022
AAL,-0.1917808219178082,0.2009594589471817,1,2022
CI,0.0835917255918134,0.20086267590522766,3,2022
CL,0.0159464654374599,0.20079933106899261,3,2022
KR,-0.121302882815425,0.20075809955596924,1,2022
SYY,-0.0361396194851233,0.20074230432510376,2,2022
MCK,0.1698985467325542,0.20073246955871582,4,2022
IRM,0.0011130674114101,0.2007310837507248,3,2022
COR,0.0477167469742636,0.20072364807128906,3,2022
GEN,-0.3387409984626588,0.20068509876728058,0,2022
CCI,-0.2444488173981489,0.20065142214298248,0,2022
AON,-0.0243584672279882,0.20064038038253784,2,2022
AMCR,-0.1181915619214654,0.2053459733724594,0,2023
VTRS,0.2999204455051711,0.20414334535598755,3,2023
CCL,0.6098522167487683,0.20309802889823914,4,2023
HBAN,0.3124754420432221,0.20268315076828003,3,2023
F,0.1243966851834987,0.2021152377128601,2,2023
DISH,-0.2893890675241157,0.20204955339431763,0,2023
WBD,-0.4218543046357615,0.20196300745010376,0,2023
PCG,0.0376608041762474,0.20180195569992065,1,2023
STZ,0.2207434940817649,0.2015775740146637,2,2023
COR,0.5332040593724685,0.20155195891857147,4,2023
SYY,0.080430320812155,0.2014418989419937,1,2023
NWL,-0.2259872391791688,0.20139192044734955,0,2023
TAP,0.3364296259842518,0.2012481689453125,3,2023
LW,0.0311637866640108,0.2012406587600708,1,2023
CAH,0.5127764093955114,0.2011338770389557,4,2023
KEY,0.3561705580095555,0.2011294662952423,3,2023
PGR,0.4560383069589537,0.2010669708251953,4,2023
KIM,0.053758004718571,0.20093320310115814,1,2023
NCLH,0.5561338289962825,0.20092013478279114,4,2023
CI,0.447169497776859,0.20088739693164825,4,2023
AMCR,0.0718232044198894,0.20533081889152527,2,2024
WBD,0.2290950744558992,0.20488359034061432,3,2024
VTRS,-0.2385032348312641,0.20465341210365295,0,2024
KEY,0.0628822121776122,0.20362381637096405,2,2024
HBAN,0.1234189057705261,0.2030421942472458,3,2024
SMCI,-0.6610001683118323,0.203032448887825,0,2024
CCL,0.1952264381884945,0.20291687548160553,3,2024
PARA,0.0353185595567868,0.2028072625398636,2,2024
IRM,0.1037419983836414,0.20153070986270905,3,2024
STE,0.0182169410813359,0.20130065083503723,2,2024
IP,0.4181663521093064,0.20119790732860565,4,2024
PSX,-0.2177581816108557,0.20119428634643555,0,2024
BBY,-0.0632476457113769,0.2011304348707199,1,2024
CLX,-0.0070608402263823,0.20111198723316193,2,2024
CAH,0.2485582783023159,0.20106293261051178,3,2024
NRG,0.4388627456914162,0.20106174051761627,4,2024
CI,-0.0785604257106847,0.20104296505451202,1,2024
LYV,0.2345655667958779,0.20104250311851501,3,2024
ROL,0.1828192385997942,0.20104221999645233,3,2024
SWK,-0.1853429549331892,0.2010204792022705,1,2024
