None,ticker,datekey,date,revenue,eps,ebitda,netinc,roe,evebitda,fcfps,pb,pe,marketcap,ebit,currentratio,capex,ncfo,equity,de,year
195,XRX,2012-02-23,2011-12-31,22626000000.0,3.68,2932000000.0,1295000000.0,0.103,6.425,4.469,0.935,8.578,11107919182.0,1681000000.0,1.24,-473000000.0,1961000000.0,11876000000.0,1.494,2011
196,XRX,2011-02-23,2010-12-31,21633000000.0,1.76,1959000000.0,606000000.0,0.052,11.405,6.457,1.245,24.663,14946034654.0,862000000.0,1.346,-467000000.0,2726000000.0,12006000000.0,1.507,2010
197,XRX,2010-02-26,2009-12-31,15179000000.0,2.24,1335000000.0,485000000.0,0.073,10.2,9.342,1.156,16.809,8152573750.0,637000000.0,2.181,-176000000.0,2208000000.0,7050000000.0,2.389,2009
198,XRX,2009-02-13,2008-12-31,17608000000.0,1.04,668000000.0,230000000.0,0.031,19.048,2.97,0.893,24.214,5569220893.0,-1000000.0,1.495,-297000000.0,939000000.0,6238000000.0,2.598,2008
199,XRX,2008-02-15,2007-12-31,17228000000.0,4.84,2191000000.0,1135000000.0,0.146,9.153,6.7,1.594,12.062,13690112919.0,1535000000.0,2.095,-334000000.0,1871000000.0,8588000000.0,1.741,2007
200,XRX,2007-02-16,2006-12-31,15895000000.0,5.0,1558000000.0,1210000000.0,0.162,14.614,5.925,2.424,14.182,17159686366.0,922000000.0,1.863,-212000000.0,1617000000.0,7080000000.0,2.066,2006
201,XRX,2006-02-21,2005-12-31,15701000000.0,3.84,1610000000.0,978000000.0,0.126,12.051,5.102,1.899,14.881,13690259220.0,973000000.0,2.01,-232000000.0,1420000000.0,7208000000.0,2.046,2005
202,XRX,2005-02-22,2004-12-31,15722000000.0,3.76,1885000000.0,859000000.0,0.139,11.373,6.48,2.037,18.49,14532923612.0,1199000000.0,1.735,-199000000.0,1750000000.0,7133000000.0,2.489,2004
203,XRX,2004-02-27,2003-12-31,15701000000.0,1.52,1242000000.0,360000000.0,0.059,16.078,8.219,2.411,39.03,11279582947.0,494000000.0,1.365,-240000000.0,1879000000.0,4679000000.0,4.256,2003
204,XRX,2003-03-31,2002-12-31,15849000000.0,0.08,1186000000.0,91000000.0,0.006,14.945,9.18,1.543,357.821,6440786305.0,151000000.0,1.415,-177000000.0,1876000000.0,4175000000.0,5.098,2002
205,XRX,2002-06-28,2001-12-31,17008000000.0,-0.48,1746000000.0,-71000000.0,-0.02,10.219,7.108,1.251,-71.374,5067528944.0,414000000.0,1.228,-274000000.0,1566000000.0,4050000000.0,5.837,2001
