date,action,ticker,name,contraticker,contraname,note
2006-05-17,removed,AMCC,APPLIED MICRO CIRCUITS CORP,EQ1,EMBARQ CORP,
2006-04-21,removed,GDT,GUIDANT CORP,LM,LEGG MASON INC,
2006-04-13,removed,CHIR1,CHIRON CORP,SNDK1,SANDISK CORP,
2006-04-03,removed,BR1,BURLINGTON RESOURCES INC,GOOGL,ALPHABET INC,
2006-03-31,removed,MYG1,MAYTAG CORP,DFODQ,DEAN FOODS CO,
2006-03-31,removed,JP1,JEFFERSON PILOT CORP,KIM,KIMCO REALTY CORP,
2006-03-31,removed,CIN,CINERGY CORP,BXP,BXP INC,
2006-03-03,removed,DCNAQ,DANA CORP,CHKAQ,CHESAPEAKE ENERGY CORP,
2006-02-24,removed,SFA,SCIENTIFIC ATLANTA INC,BRL,BARR PHARMACEUTICALS INC,
2006-02-01,removed,RBK,REEBOK INTERNATIONAL LTD,VRSN,VERISIGN INC,
2006-01-31,removed,SEBL,SIEBEL SYSTEMS INC,HAR,HARMAN INTERNATIONAL INDUSTRIES INC,
2006-01-05,removed,MERQ,MERCURY INTERACTIVE CORP,EL,ESTEE LAUDER COMPANIES INC,
2005-12-30,removed,VSTNQ,VISTEON CORP,VIAB,VIACOM INC,
2005-12-30,removed,KRB,MBNA CORP,WFM,WHOLE FOODS MARKET INC,
2005-12-20,removed,GP1,GEORGIA PACIFIC CORP,SSP,EW SCRIPPS CO,
2005-12-02,removed,CPNLQ,CALPINE CORP,GNW,GENWORTH FINANCIAL INC,
2005-11-18,removed,T1,AT&T CORP,AMZN,AMAZON COM INC,
2005-10-10,removed,DPHIQ,DELPHI CORP,PDCO,PATTERSON COMPANIES INC,
2005-10-04,removed,G1,GILLETTE CO,LEN,LENNAR CORP,
2005-10-03,removed,PVN,PROVIDIAN FINANCIAL CORP,AMP,AMERIPRISE FINANCIAL INC,
2005-08-30,removed,MAY1,MAY DEPARTMENT STORES CO,CVH,COVENTRY HEALTH CARE INC,
2005-08-19,removed,DALRQ,DELTA AIR LINES INC,PSA,PUBLIC STORAGE,
2005-08-12,removed,NXTL,NEXTEL COMMUNICATIONS INC,MUR,MURPHY OIL CORP,
2005-08-11,removed,UCL1,UNOCAL CORP,TSN,TYSON FOODS INC,
2005-08-11,removed,SDS1,SUNGARD DATA SYSTEMS INC,VNO,VORNADO REALTY TRUST,
2005-07-21,removed,TOY,TOYS R US INC,WFTIQ,WEATHERFORD INTERNATIONAL PLC,
2005-07-05,removed,VRTS1,VERITAS SOFTWARE CORP,DHI,HORTON D R INC,
2005-07-05,removed,GLK1,GREAT LAKES CHEMICAL CORP,STZ,CONSTELLATION BRANDS INC,
2005-03-28,removed,S1,SEARS ROEBUCK & CO,SHLDQ,SEARS HOLDINGS CORP,
2005-03-14,removed,PWER1,POWER ONE INC,NOV,NOV INC,
2004-12-28,removed,PSFT,PEOPLESOFT INC,XTO,XTO ENERGY INC,
2004-12-20,removed,DLX,DELUXE CORP,TFCF,TWENTY-FIRST CENTURY FOX INC,
2004-12-20,removed,CXT,CRANE NXT CO,ASN,ARCHSTONE SMITH TRUST,
2004-12-17,removed,WOR,WORTHINGTON ENTERPRISES INC,CBSS,COMPASS BANCSHARES INC,
2004-12-03,removed,WNDXQ,WINN DIXIE STORES INC,FSL.B,FREESCALE SEMICONDUCTOR INC,
2004-12-01,removed,WLP1,WELLPOINT HEALTH NETWORKS INC,LLL1,L3 TECHNOLOGIES INC,
2004-11-01,removed,SOTR,SOUTHTRUST CORP,LH,LABCORP HOLDINGS INC,
2004-10-26,removed,AWE,ATT WIRELESS SERVICES INC,CITGQ,CIT GROUP INC,
2004-09-01,removed,CF1,CHARTER ONE FINANCIAL INC,TPR,TAPESTRY INC,
2004-08-02,removed,TNB,THOMAS & BETTS CORP,FSH,FISHER SCIENTIFIC INTERNATIONAL INC,
2004-07-01,removed,ONE1,BANK ONE CORP,GILD,GILEAD SCIENCES INC,
2004-06-30,removed,UPC1,UNION PLANTERS CORP,SOV,SOVEREIGN BANCORP INC,
